Job_name,Job_description,Posting_date,Experience,Location,Company_name,Job_application_link,Type
Frontend,,05_05_2026,Not specified,Chennai / Bengaluru,zMed Healthcare,https://www.zmed.tech/apply,onsite
Core Software / Backend,,05_05_2026,Not specified,Chennai / Bengaluru,zMed Healthcare,https://www.zmed.tech/apply,onsite
QA and testing,,05_05_2026,Not specified,Chennai / Bengaluru,zMed Healthcare,https://www.zmed.tech/apply,onsite
Project Manager,,05_05_2026,Not specified,Chennai / Bengaluru,zMed Healthcare,https://www.zmed.tech/apply,onsite
Full Stack,,05_05_2026,Not specified,Chennai / Bengaluru,zMed Healthcare,https://www.zmed.tech/apply,onsite
Mobile app,,05_05_2026,Not specified,Chennai / Bengaluru,zMed Healthcare,https://www.zmed.tech/apply,onsite
Product Manager,,05_05_2026,Not specified,Chennai / Bengaluru,zMed Healthcare,https://www.zmed.tech/apply,onsite
